coordenador_projeto_pesquisa,unidade_coordenador_projeto,status_projeto_pesquisa,codigo_projeto_pesquisa,data_inicio_projeto,data_fim_projeto,grande_area,area,subarea,titulo_projeto_pesquisa
LANA DE SOUZA CAVALCANTI,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04076-2019,01/11/2019,11/12/2023,Ciências Humanas,Geografia,Geografia Humana,"Formação/Atuação de professores de Geografia, conhecimentos profissionais e o pensamento geográfico: práticas docentes com conteúdos escolares para a vida urbana cidadã"
ALINE PRISCILA PANSANI,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04082-2018,01/04/2018,31/12/2023,Ciências Biológicas,Fisiologia,,ANÁLISE DO EFEITO DA APNEIA OBSTRUTIVA NAS ALTERAÇÕES CARDIOVASCULARES PROVOCADAS POR CRISES EPILÉPTICAS
EDUARDO VIGNOTO FERNANDES,UNID. ACAD. ESP/CIENCIAS BIOLOGICAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04083-2020,01/03/2020,01/08/2023,Ciências Biológicas,Morfologia,Anatomia,ESTUDO COMPARATIVO ENTRE METODOLOGIAS CONSTRUTIVISTA E TRADICIONAL NO ENSINO SUPERIOR
ANDRE BARCELLOS CARLOS DE SOUZA,FACULDADE DE EDUCAÇÃO,FINALIZADO,PI04132-2019,12/12/2019,23/12/2023,Ciências Humanas,Educação,Fundamentos da Educação,Os fundamentos do programa Future-se já se encontram presentes na UFG? 
KARINE CAMILA OLIVEIRA,UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04185-2019,05/08/2019,31/07/2023,Ciências Sociais Aplicadas,Arquitetura e Urbanismo,Fundamentos de Arquitetura e Urbanismo,Perspectivas para a preservação de cidades
JAMES OLUWAGBAMIGBE FAJEMIROYE,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04190-2019,01/07/2019,01/12/2023,Ciências Biológicas,Farmacologia,Neuropsicofarmacologia,VALIDAÇÃO DO MODELO DE DEPRESSÃO PÓS-PARTO E AVALIAÇÃO PRÉ-CLÍNICA DAS ATIVIDADES ANTIDEPRESSIVAS DOS ANÁLOGOS DA SALVINORINA A
WAGNER BANDEIRA DA SILVA,CENTRO INTEGRADO DE APRENDIZAGEM EM REDE,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04234-2019,22/11/2019,22/12/2023,Ciências Sociais Aplicadas,Desenho Industrial,Programação Visual,PROTOCOLO DE IMPLEMENTAÇÃO DE PROJETO DE ACESSIBILIDADE EM INTERFACES GRÁFICAS
ELENA ORTIZ PREUSS,FACULDADE DE LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04236-2019,01/07/2019,31/08/2023,"Lingüística, Letras e Artes",Lingüística,Psicolingüística,Interação entre funções executivas e desenvolvimento linguístico típico e atípico de L1 e/ou L2.
SUZETE ALMEIDA DE BESSA,UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04241-2019,01/10/2019,29/12/2023,Ciências Sociais Aplicadas,Arquitetura e Urbanismo,Projeto de Arquitetura e Urbanismo,ARQUITETURA RESILIENTE: O papel da arquitetura no campo interdisciplinar do acolhimento da população migrante e refugiada.
THALES DOMINGOS ARANTES,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO,PI04243-2020,01/02/2020,31/12/2023,Ciências Biológicas,Microbiologia,Biologia e Fisiologia dos Microorganismos,"Caracterização epidemiológica, molecular e filogenética de isolados de Sporothrix spp. e sua resposta ao tratamento antifúngico e a novos compostos bioativos"
GUSTAVO HENRIQUE PETEAN,UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIAS,PRORROGAÇÃO PENDENTE PRPI,PI04246-2020,30/03/2020,31/12/2023,Ciências Sociais Aplicadas,Administração,,ACIDENTE E ADOECIMENTO DE TRABALHO NOS FRIGORÍFICOS DO ESTADO DE GOIÁS
JORDAO HORTA NUNES,FACULDADE DE CIÊNCIAS SOCIAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04247-2020,01/04/2020,01/09/2023,Ciências Humanas,Sociologia,Outras Sociologias Específicas,"Trabalho, arte e educação"
IDERVAL DA SILVA JUNIOR SOBRINHO,UNID. ACAD. ESP/CIENCIAS BIOLOGICAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04252-2019,02/03/2020,19/12/2023,Ciências Biológicas,Genética,Genética Animal,"Estudo das bases genéticas das adaptações de moscas-das-frutas (Diptera, Tephritidae, Anastrepha) a hospedeiros produtores de fitotoxinas"
ROOSEVELT ALVES DA SILVA,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04282-2020,13/03/2020,28/02/2023,Ciências Exatas e da Terra,Química,Físico-Química,PROSPECÇÃO DE INIBIDORES DA PROTEÍNA NSP1 COM AÇÃO ANTIVIRAL CONTRA BETACORONAVIRUS
ROOSEVELT ALVES DA SILVA,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04285-2020,14/03/2020,28/02/2023,Ciências Exatas e da Terra,Química,Físico-Química,PROSPECÇÃO DE INIBIDORES DA FORMAÇÃO DO DÍMERO DA PROTEÍNA NS1 DOS PRINCIPAIS FLAVIVIRUS
MARA RUBIA MARQUES,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04294-2020,01/08/2020,21/12/2023,Ciências Biológicas,Morfologia,Histologia,EFEITOS DO EXERCÍCIO FÍSICO RESISTIDO NA QUALIDADE PERIODONTAL DE RATAS IDOSAS OVARIECTOMIZADAS. 
DANIELLE FABIOLA PEREIRA DA SILVA,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04308-2020,22/03/2020,31/08/2023,Ciências Agrárias,Agronomia,Fitotecnia,"CARACTERIZAÇÃO MORFOLÓGICA DE FRUTO, ENDOCARPO, SEMENTES E PLÂNTULAS E SUPERAÇÃO DE DORMÊNCIA DE CAJÁ-MANGA"
KENIA ADRIANA DE AQUINO,UAE REJ ESPECIAL DE EDUCAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04315-2020,01/04/2020,31/12/2023,Ciências Humanas,Educação,Ensino-Aprendizagem,Os paratextos nos livros infantis e as estratégias de leitura na formação do leitor 
BRENO ALMEIDA SOARES,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04321-2020,01/03/2020,01/02/2023,Ciências Exatas e da Terra,Química,Química Orgânica,PLANEJAMENTO RACIONAL DE NOVOS AGENTES ANTI-ALZHEIMER HÍBRIDOS COM POTENCIAL DE AÇÃO MULTIALVO
JOSE HORTENCIO MOTA,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04330-2020,01/03/2020,31/12/2023,Ciências Agrárias,Agronomia,Fitotecnia,Aplicação de doses e fontes de adubos nitrogenados e fosfatados na produção de cultivares de alface americana
PATRICIA DE SA BARROS,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04353-2020,19/02/2020,30/05/2023,Ciências da Saúde,Fisioterapia e Terapia Ocupacional,,Valores de referência para o teste Timed Up & Go em indivíduos saudáveis de 7 a 18 anos no Brasil: estudo multicêntrico TUGBrasil.
EDUARDO SERGIO DE SOUZA,UNID. ACAD. ESP/FISICA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04386-2020,01/04/2020,01/08/2023,Ciências Exatas e da Terra,Física,Física da Matéria Condensada,Transferência de energia de fluorescência em membranas modelo
GUSTAVO DUARTE PIMENTEL,FACULDADE DE NUTRIÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04388-2020,01/04/2020,31/12/2023,Ciências da Saúde,Nutrição,Análise Nutricional de População,AVALIAÇÃO DA PREVALÊNCIA DE SARCOPENIA E MÉTODOS DE DIAGNÓSTICO EM PACIENTES EM HEMODIÁLISE DO ESTADO DE GOIÁS
AGUEDA MARIA RUIZ ZIMMER CAVALCANTE,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04398-2019,01/10/2019,31/12/2023,Ciências da Saúde,Enfermagem,Enfermagem Médico-Cirúrgica,ACURÁCIA DOS INDICADORES CLÍNICOS DO DIAGNÓSTICO DE ENFERMAGEM CONTROLE INEFICAZ DA SAÚDE EM HIPERTENSOS
DEBORA FERREIRA DA CUNHA,FACULDADE DE CIÊNCIAS SOCIAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04399-2020,01/01/2020,31/12/2023,Ciências Sociais Aplicadas,Planejamento Urbano e Regional,,SOLUÇÕES DE FINANCIAMENTO PARA O DESENVOLVIMENTO URBANO-METROPOLITANO
TATIANA GONDIM DO AMARAL,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL,AGUARDANDO PRORROGAÇÃO COORD. PESQUISA,PI04400-2010,01/01/2010,29/12/2023,Engenharias,Engenharia Civil,Construção Civil,Gestão e tecnologia da produção
ERIN CAPERUTO DE ALMEIDA,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04406-2020,01/05/2020,30/04/2023,Ciências Agrárias,Zootecnia,Produção Animal,"RELAÇÃO ENTRE SUBSTITUIÇÃO DE FAVOS ESCUROS, PRODUTIVIDADE E OVIPOSIÇÃO DE ABELHAS RAINHAS (Apis melífera)"
ERIKA MORAIS MARTINS COELHO,INSTITUTO DE INFORMÁTICA,FINALIZADO,PI04411-2020,01/03/2020,01/03/2023,Ciências Exatas e da Terra,Ciência da Computação,Teoria da Computação,CONVEXIDADE EM GRAFOS: Complexidade computacional e caracterizações
CLEITO PEREIRA DOS SANTOS,FACULDADE DE CIÊNCIAS SOCIAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04413-2020,04/05/2020,31/10/2023,Ciências Humanas,Sociologia,Outras Sociologias Específicas,"Lazer, Tecnologia e Controle Social: transformações contemporâneas"
ELSON ALVES COSTA,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04415-2020,01/01/2020,31/12/2023,Ciências Biológicas,Farmacologia,Neuropsicofarmacologia,Avaliação neurofarmacológica em modelos de ansiedade e depressão de derivados piperazínicos com substituinte BHT
LUCIANA CELESTE CARNEIRO,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04417-2020,14/04/2020,31/03/2023,Ciências Agrárias,Agronomia,Fitossanidade,CONTROLE QUÍMICO E BIOLÓGICO DO MOFO-BRANCO NA CULTURA DA SOJA
JAQUELINE PEREIRA DE OLIVEIRA VILASBOAS,FACULDADE DE CIÊNCIAS SOCIAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04419-2020,01/03/2020,31/03/2023,Ciências Humanas,Sociologia,Outras Sociologias Específicas,Perfil socioeconômico e trajetória escolar dos/as estudantes dos cursos de Licenciatura das Instituições Federias de Educação Superior (IFES) de Goiás
ELSON ALVES COSTA,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04420-2019,01/08/2019,31/07/2023,Ciências Biológicas,Farmacologia,,Avaliação das atividades antinoceptiva e/ou anti- inflamatória de um composto desenhado a partir do celecoxibe (LQFM-275).
JOSE HUMBERTO DE GOES JUNIOR,UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIAS,AGUARDANDO PRORROGAÇÃO COORD. PESQUISA,PI04427-2020,06/04/2020,31/12/2023,Ciências Sociais Aplicadas,Direito,Direitos Especiais,"Massacres no campo na Nova República: crime e impunidade, 1985-2018"
JULIANA CECCATO FERREIRA,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04428-2020,01/05/2020,30/06/2023,Ciências Agrárias,Recursos Florestais e Engenharia Florestal,Tecnologia e Utilização de Produtos Florestais,IDENTIFICAÇÃO E APLICAÇÃO DE COMPONENTES QUÍMICOS NATURAIS DE ESPÉCIES ARBÓREAS DE OCORRÊNCIA NO CERRADO
LAURA VILELA RODRIGUES REZENDE,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04432-2020,01/03/2020,31/12/2023,Ciências Sociais Aplicadas,Ciência da Informação,Teoria da Informação,Os caminhos do Brasil rumo à Ciência Aberta  estudos e aplicações
CRISTIANE SOUZA BORZUK,UAE REJ CIÊNCIAS HUMANAS E LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04447-2020,13/04/2020,01/09/2023,Ciências Humanas,Psicologia,Psicologia Social,Pedofilia e indústria cultural: estudos sobre o ativismo pedófilo em ambiente virtual
ANA PAULA DA SILVA PEREZ,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04461-2020,01/05/2020,30/09/2023,Ciências Biológicas,Morfologia,Histologia,Associação entre a exposição pré-natal ao óleo de pequi e ao componente do contraceptivo oral e seus efeitos sobre a morfologia do ovário e da glândula adrenal de gerbilos (Meriones unguiculatus)
BARBARA DE LIMA LUCAS,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04468-2020,09/04/2020,30/04/2023,Ciências da Saúde,Medicina,Cirurgia,"Peças humanas naturais, material didático-pedagógico e metodologias de ensino-aprendizagem para anatomia aplicada: Revisão Sistemática da Literatura"
ELENA ORTIZ PREUSS,FACULDADE DE LETRAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04474-2020,01/03/2020,31/08/2023,"Lingüística, Letras e Artes",Lingüística,Psicolingüística,INTERAÇÃO ENTRE DIFERENÇAS INDIVIDUAIS E INTERVENÇÕES PEDAGÓGICAS NA AQUISIÇÃO DE SEGUNDA LÍNGUA
MARIA ELIDIA TEIXEIRA,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04476-2020,01/06/2020,31/08/2023,Ciências Humanas,Educação,,POTENCIALIDADES E LIMITAÇÕES DE PROJETOS DE FORMAÇÃO CONTINUADA PARA PROFESSORES DA EDUCAÇÃO BÁSICA ESTRUTURADOS NA PARCERIA UNIVERSIDADE-ESCOLA 
VIVIANE BARROS MACIEL,UAE REJ ESPECIAL DE EDUCAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04477-2020,01/08/2020,31/08/2023,Ciências Humanas,Educação,,"""Matemáticas para Ensinar"" nos primeiros anos escolares"
DENIS CASTILHO,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04497-2020,28/07/2020,30/07/2023,Ciências Humanas,Geografia,Geografia Humana,Ruralidades e sinergias na Região Metropolitana de Goiânia (RMG) no século XXI
ANA LUCIA QUEIROZ BEZERRA,PROGRAMA DE PÓS-GRADUAÇÃO EM ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04505-2019,08/08/2019,31/12/2023,Ciências da Saúde,Enfermagem,Enfermagem de Saúde Pública,PROCESSO EDUCATIVO DOS PROFISSIONAIS DE SAÚDE PARA O ENVOLVIMENTO DO PACIENTE NO CUIDADO SEGURO
RENATA DE OLIVEIRA DIAS,INSTITUTO DE CIENCIAS BIOLOGICAS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04511-2020,19/04/2020,31/12/2023,Ciências Biológicas,Biologia Geral,,Os insetos como recursos didáticos para o ensino de Ciências
CARLOS GALVAO PINHEIRO JUNIOR,"ESCOLA DE ENGENHARIA ELÉTRICA, MECÂNICA E DE COMPUTAÇÃO",FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04515-2020,01/04/2020,30/09/2023,Engenharias,Engenharia Biomédica,Engenharia Médica,Engenharia de Tecnologias Assistivas
FLAVIO ALVES DA SILVA,ESCOLA DE AGRONOMIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04519-2020,01/03/2020,30/06/2023,Ciências Agrárias,Ciência e Tecnologia de Alimentos,Ciência de Alimentos,APROVEITAMENTO INTEGRAL DOS RESÍDUOS DE JABUTICABA: EXTRAÇÃO E CARACTERIZAÇÃO DE COMPOSTOS
FERNANDA DE PAULA FERREIRA MOI,UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIAS,AGUARDANDO PRORROGAÇÃO DIREÇÃO,PI04524-2020,20/04/2020,31/12/2023,Ciências Sociais Aplicadas,Direito,Direito Privado,"OS IMPACTOS SÓCIO-ECONÔMICOS DO INSTITUTO DA RECUPERAÇÃO JUDICIAL NO MERCADO BRASILEIRO, EM ESPECIAL NO MERCADO GOIANO: uma análise à luz do Princípio da Função Social da Empresa"
ALEX FABIANNE DE PAULO,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04525-2020,28/07/2020,31/12/2023,Ciências Sociais Aplicadas,Ciência da Informação,Biblioteconomia,Identificação de redes de cooperação e rotas sobre a produção de C&T: um estudo aplicado às universidades do estado de Goiás
FERNANDA DE PAULA FERREIRA MOI,UNID.ACAD.ESP/CIENC SOCIAIS APLIC-GOIAS,AGUARDANDO PRORROGAÇÃO DIREÇÃO,PI04526-2020,20/04/2020,31/12/2023,Ciências Sociais Aplicadas,Direito,Direito Público,"A MEMÓRIA, A HISTÓRIA, O ESQUECIMENTO E A NECESSIDADE DE POLÍTICAS PÚBLICAS PARA A PROTEÇÃO DOS DIREITOS HUMANOS: a necessidade de um não à banalidade do mal mediante analise de casos concretos processados e julgados perante Tribunais Internacionais"
LUCAS FELICIO COSTA,FACULDADE DE ARTES VISUAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04530-2019,25/11/2019,25/11/2023,Ciências Sociais Aplicadas,Arquitetura e Urbanismo,Fundamentos de Arquitetura e Urbanismo,COLÔNIAS AGRÍCOLAS: TRAJETÓRIAS ESPACIAIS POR DISCURSOS E NARRATIVAS
CLEONICE BORGES DE SOUZA,PRÓ-REITORIA DE PESQUISA E INOVAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04537-2020,01/08/2020,31/12/2023,Ciências Agrárias,Agronomia,Extensão Rural,"Inovação na redução de perdas de alimentos e soluções tecnológicas para o tratamento de resíduos sólidos, sob a perspectiva da Economia Circular"
FLAVIA PEREIRA LIMA,CENTRO DE ENSINO E PESQUISA APLICADA A EDUCACAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04543-2020,20/04/2020,30/12/2023,Ciências Humanas,Educação,Ensino-Aprendizagem,ENSINO DE CIÊNCIAS SOB INVESTIGAÇÃO: UMA ANÁLISE DAS METODOLOGIAS ATIVAS EMPREGADAS NO ENSINO DE CIÊNCIAS DOS ANOS INICIAIS
LUCIANA CANDIDA DA SILVA,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04544-2020,01/04/2020,31/08/2023,Ciências Sociais Aplicadas,Ciência da Informação,Biblioteconomia,"Levantamento histórico, cultural e profissional de máquinas gráficas e criação do acervo digital do Ateliê Tipográfico da UFG "
WALDEMAR NAVES DO AMARAL,FACULDADE DE MEDICINA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04547-2020,05/01/2020,31/12/2023,Ciências Biológicas,Microbiologia,,STREPTOCOCCUS AGALACTIAE: TRANSMISSÃO VERTICAL E EPIDEMIOLOGIA MOLECULAR 
VIRGILIO MOREIRA RORIZ,FACULDADE DE ODONTOLOGIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04552-2020,01/08/2020,31/08/2023,Ciências da Saúde,Odontologia,,AVALIAÇÃO CLÍNICA E TERMOGRAFICA DE ALVÉOLOS DE TERCEIROS MOLARES APÓS EXTRAÇÃO QUE RECEBERAM LASERTERAPIA
ERIN CAPERUTO DE ALMEIDA,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04554-2020,15/06/2020,14/06/2023,Ciências Agrárias,Zootecnia,Produção Animal,ESTUDO DO COMPORTAMENTO DE CHINCHILAS EM CRIATÓRIO COMERCIAL COMO FERRAMENTA PARA O BEM ESTAR
CRISTIANA MARIA TOSCANO,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04581-2020,19/06/2020,29/12/2023,Ciências da Saúde,Saúde Coletiva,,Modelagem da dinâmica de transmissão do SARS-CoV-2 no Brasil: Ciência em tempo real para subsidiar gestores na tomada de decisão baseada em evidências
ANTONIO CARLOS LUPERNI HORTA,INSTITUTO DE QUÍMICA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0458-2012,23/01/2012,20/12/2023,Engenharias,Engenharia Química,Processos Industriais de Engenharia Química,"Modelagem, Simulação e Controle de Processos"
SIMERIO CARLOS SILVA CRUZ,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0460-2015,02/03/2015,31/07/2023,Ciências Agrárias,Agronomia,Ciência do Solo,DOSES DE GESSO E FÓSFORO NA SUCESSÃO SOJA/MILHO SAFRINHA
MARCELO FOUAD RABAHI,FACULDADE DE MEDICINA,AGUARDANDO CEP/CEUA/CBIO,PI04608-2020,01/06/2020,05/12/2023,Ciências da Saúde,Medicina,,"Avaliação da radiografia de tórax através de Machine learning, como um novo instrumento para identificação precoce da Tuberculose Pulmonar  Programa XmarTB"
ANDRE CARLOS SILVA,UAE - DE ENGENHARIA - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04613-2020,15/05/2020,30/04/2023,Engenharias,Engenharia de Materiais e Metalúrgica,Materiais Não-Metálicos,APLICAÇÃO DE CINZAS DE INCINERAÇÃO EM BASES CIMENTÍCIAS
VIRGINIA VISCONDE BRASIL,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04615-2019,01/07/2019,30/04/2023,Ciências da Saúde,Enfermagem,Enfermagem Médico-Cirúrgica,Letramento em saúde de pacientes em diálise peritoneal domiciliar e de seus cuidadores.
BRENO TENORIO RAMALHO DE ABREU,FACULDADE DE ARTES VISUAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04627-2020,19/05/2020,19/05/2023,Ciências Sociais Aplicadas,Desenho Industrial,Desenho de Produto,"Re_print: estamparia, tingimento e práticas sustentáveis"
ADRIANA ARAUJO CINTRA,UNID. ACAD. ESP/CIENCIAS EXATAS - JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04679-2020,01/06/2020,30/07/2023,Ciências Exatas e da Terra,Matemática,Geometria e Topologia,Estudos sobre superfícies mínimas
NAIDA CRISTINA BORGES,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04691-2020,16/03/2020,29/12/2023,Ciências Agrárias,Medicina Veterinária,Clínica e Cirurgia Animal,"Descrição anatômica e radiográfica das articulações escapuloumeral e umerorradioulnar de Tamanduá-bandeira (Myrmecophaga tridactyla-Linnaeus, 1758)"
HANSTTER HALLISON ALVES REZENDE,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04697-2020,01/08/2020,31/08/2023,Ciências da Saúde,Medicina,,AVALIAÇÃO DA NITAZOXANIDA NO TRATAMENTO DA NEUROTOXOPLASMOSE EXPERIMENTAL POR DIFERENTES GENÓTIPOS
BRUNO FRANCESCHINI,UNID. ACAD. ESP/LETRAS E LINGUISTICA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI0473-2017,23/03/2021,30/08/2023,"Lingüística, Letras e Artes",Lingüística,Teoria e Análise Lingüística,Cartografias do Discurso: as práticas de confissão e os dispositivos nos discursos dos homens infames
LUANA ZANOTTO,FACULDADE DE EDUCAÇÃO FISICA E DANÇA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04734-2020,15/06/2020,31/12/2023,Ciências da Saúde,Educação Física,,A EDUCAÇÃO FÍSICA NA EDUCAÇÃO INFANTIL NO MUNICÍPIO DE GOIÂNIA-GO: ANÁLISES E PROPOSITIVAS
DEISE NANCI DE CASTRO MESQUITA,CENTRO DE ENSINO E PESQUISA APLICADA A EDUCACAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04760-2020,01/09/2020,31/12/2023,"Lingüística, Letras e Artes",Letras,Língua Portuguesa,Imagem da Vida em Transição
ROXANA ISABEL CARDOZO GONZALES,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04796-2020,01/07/2020,23/06/2023,Ciências da Saúde,Saúde Coletiva,Saúde Pública,APOIO INSTITUCIONAL E A DETECÇÃO DE CASOS DE TUBERCULOSE NO BRASIL
DENILSON TEIXEIRA,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL,AGUARDANDO PRORROGAÇÃO DIREÇÃO,PI04805-2020,10/10/2020,30/09/2023,Outras,Multidisciplinar,,Desempenho de ferramentas digitais nos procedimentos de elaboração da pesquisa: o caso do software Idea Puzzle
HANSTTER HALLISON ALVES REZENDE,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04841-2020,01/11/2020,30/11/2023,Ciências da Saúde,Farmácia,,ESTUDO DA EFICIÊNCIA DO EXTRATO ETANÓLICO E ÓLEO ESSENCIAL DE Siparuna guianensis E &#945;-BISABOLOL NO TRATAMENTO DA NEUROTOXOPLASMOSE EXPERIMENTAL
MERCIA PANDOLFO PROVIN,FACULDADE DE FARMÁCIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04877-2018,12/03/2018,11/03/2023,Ciências da Saúde,Farmácia,,Desenvolvimento de um modelo de dispensação de medicamentos para melhorar o grau de adesão em pacientes psiquiátricos
ANGELA FERREIRA LOPES,FACULDADE DE FARMÁCIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04899-2020,01/10/2020,31/08/2023,Ciências da Saúde,Farmácia,,Atuação profissional na Oncologia Veterinária
CLAUDIO RODRIGUES LELES,FACULDADE DE ODONTOLOGIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04906-2021,01/01/2021,01/09/2023,Ciências da Saúde,Odontologia,Clínica Odontológica,Overdenture mandibular estabilizada com um único implante na região canina do lado preferencial de mastigação: um estudo piloto de viabilidade
VERA LUCIA BANYS,UNID. ACAD. ESP/CIENCIAS AGRARIAS-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI04908-2020,01/10/2020,31/07/2023,Ciências Agrárias,Zootecnia,Pastagem e Forragicultura,PRODUÇÃO DE MASSA E NUTRIENTES DE DUAS BRAQUIÁRIAS NO CERRADO SOB DIFERENTES DOSES DE NITROGÊNIO
